time,symbol,open,high,low,close,volume,timestamp
2025-12-28 15:50:00+05:30,BTCUSD,87913.5,87937.0,87847.5,87934.0,22619,2025-12-28 15:50:00+05:30
2025-12-28 15:55:00+05:30,BTCUSD,87935.0,87945.5,87885.0,87930.0,11659,2025-12-28 15:55:00+05:30
2025-12-28 16:00:00+05:30,BTCUSD,87930.0,87931.0,87858.5,87909.0,13164,2025-12-28 16:00:00+05:30
2025-12-28 16:05:00+05:30,BTCUSD,87908.0,87990.5,87832.5,87837.0,43547,2025-12-28 16:05:00+05:30
2025-12-28 16:10:00+05:30,BTCUSD,87838.0,87842.5,87809.0,87824.0,12105,2025-12-28 16:10:00+05:30
2025-12-28 16:15:00+05:30,BTCUSD,87823.5,87837.5,87814.0,87821.5,9121,2025-12-28 16:15:00+05:30
2025-12-28 16:20:00+05:30,BTCUSD,87820.5,87833.5,87818.0,87833.5,4705,2025-12-28 16:20:00+05:30
2025-12-28 16:25:00+05:30,BTCUSD,87833.5,87838.5,87825.5,87837.0,3447,2025-12-28 16:25:00+05:30
2025-12-28 16:30:00+05:30,BTCUSD,87838.0,87898.5,87838.0,87865.0,18626,2025-12-28 16:30:00+05:30
2025-12-28 16:35:00+05:30,BTCUSD,87865.0,87906.0,87865.0,87902.5,5389,2025-12-28 16:35:00+05:30
2025-12-28 16:40:00+05:30,BTCUSD,87901.5,87901.5,87877.0,87895.5,7816,2025-12-28 16:40:00+05:30
2025-12-28 16:45:00+05:30,BTCUSD,87896.5,87905.0,87848.0,87852.0,9578,2025-12-28 16:45:00+05:30
2025-12-28 16:50:00+05:30,BTCUSD,87852.0,87880.5,87852.0,87862.5,2683,2025-12-28 16:50:00+05:30
2025-12-28 16:55:00+05:30,BTCUSD,87866.0,87874.5,87854.5,87865.5,4097,2025-12-28 16:55:00+05:30
2025-12-28 17:00:00+05:30,BTCUSD,87865.5,87865.5,87838.0,87848.0,5427,2025-12-28 17:00:00+05:30
