timestamp,open,high,low,close,volume,stochk_9_3,stochk_14_3,stochk_40_3,stochk_60_3,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,day,time,breakout,sl,entry,maxrr,rr
2025-06-10 11:15:00+05:30,2716.6,2717.0,2709.9,2713.2,43025,28.9,25.9,80.3,81.2,0.29,1.48,2.64,-0.11,2.0,3.1,62.793986716033395,0.39,2025-06-10,11:15:00,True,2709.9,2713.2,0.1,-0.2
2025-08-18 11:00:00+05:30,2841.1,2848.4,2841.1,2843.1,4482,21.1,30.8,88.9,88.9,0.43,1.39,2.19,0.13,1.84,2.61,74.47762009304397,0.27,2025-08-18,11:00:00,True,2841.1,2843.1,2.9,0.8
2025-07-18 10:45:00+05:30,5562.5,5570.5,5557.0,5564.0,21399,22.8,16.5,79.0,79.6,0.01,0.93,1.98,-0.28,1.27,2.35,54.482335533372414,0.42,2025-07-18,10:45:00,True,5557.0,5564.0,0.1,0.1
2025-06-25 11:20:00+05:30,1977.0,1977.0,1976.1,1977.0,49954,23.3,34.1,80.8,82.0,0.03,0.23,0.44,-0.03,0.4,0.36,55.38051649748585,0.14,2025-06-25,11:20:00,True,1976.1,1977.0,1.0,1.0
2025-06-26 11:10:00+05:30,1994.9,1995.6,1993.2,1995.4,85916,30.0,47.8,80.1,81.4,0.1,0.37,0.67,0.03,0.46,0.71,58.89223540990811,0.15,2025-06-26,11:10:00,True,1993.2,1995.4,4.8,4.8
2025-07-03 11:05:00+05:30,705.15,706.25,705.0,705.6,41768,21.2,39.5,79.6,83.0,0.11,0.56,0.98,-0.02,0.73,1.2,58.698889040537914,0.21,2025-07-03,11:05:00,True,705.0,705.6,0.1,0.1
2025-08-18 11:20:00+05:30,710.65,710.95,710.1,710.15,27949,16.4,16.3,88.4,88.5,0.1,0.8,1.44,-0.16,1.12,1.87,59.996858290260946,0.22,2025-08-18,11:20:00,True,710.1,710.15,6.0,3.6
2025-06-17 09:20:00+05:30,5111.3,5120.0,5066.5,5079.5,68297,35.1,35.1,72.3,74.0,0.24,0.43,0.63,0.24,0.47,0.79,56.25042550714538,0.26,2025-06-17,09:20:00,True,5066.5,5079.5,2.3,-0.0
2025-08-13 11:05:00+05:30,4509.1,4510.0,4506.3,4509.6,5721,35.5,35.2,86.2,85.3,0.24,1.07,1.59,-0.04,1.47,2.43,58.81461279824953,0.34,2025-08-13,11:05:00,True,4506.3,4509.6,0.8,-0.1
2025-08-18 10:40:00+05:30,2566.3,2570.0,2566.3,2567.5,11790,29.2,38.1,82.0,81.9,0.62,1.52,2.08,0.53,2.04,2.34,65.53259593574066,0.36,2025-08-18,10:40:00,True,2566.3,2567.5,4.7,1.0
